Respondent_ID,Q1_Employment_Status,Q2_Highest_Education,Q3_Age_Group,Q4_City_Residence,Q5_Monthly_Household_Income_XAF,Q6_Household_Size_Supported,Q7_Bulk_Food_Frequency,Q8_Percentage_Income_To_Food,Q9_Reduced_Food_Quality_Quantity,Q10_Monthly_Food_Spend_XAF_Numeric,Q11_Estimated_5Yr_Food_Bill_Increase,Q12_Most_Dramatic_Increased_Food_Item,Q13_Monthly_Transport_Spend,Q14_Fuel_Prices_Impact_Scale_1_5,Q15_Primary_Transportation_Mode,Q16_Paid_Transport_Trips_Per_Week,Q17_Estimated_5Yr_Transport_Fare_Increase_Percent,Q18_Times_Moved_Due_To_Rent,Q19_Power_Cuts_Extra_Spend,Q20_Percentage_Income_To_Rent,Q21_Monthly_Rent_XAF_Numeric,Q22_Monthly_Utilities_Combined_XAF_Numeric,Q23_Rent_Increased_Last_2_Years,Q24_Skipped_Medical_Treatment_Cost,Q25_Schooling_Cost_Increased_Scale_1_5,Q26_Has_Health_Insurance,Q27_Average_Monthly_Healthcare_Spend_XAF_Numeric,Q28_School_Fees_Per_Child_XAF_Numeric,Q29_Highest_Burden_Expenditure_Category,Q30_Expect_Cost_Of_Living_Increase_5Yrs,Q31_Taken_Measures_To_Cope,Q32_Primary_Contributor_To_Cost_Of_Living,Q33_Year_Noticeable_Impact
RESP_0001,Self-employed,Other,26-35,Garoua,"100,001-200,000",8,Sometimes,more than 60%,"Yes, only quantity",63388,"Less than 5,000",Bread,"Above 30,000",3,Walking,11,More than 50%,Twice,Rarely,Less than 20%,34798,10956,I own my home,No,3,No,9427,300000,Rent,Definitely no,Borrowed money; Relocated to a cheaper area; Started a small business,Inflation (rising prices),2021
RESP_0002,Self-employed,Undergraduate,56 - above,Douala,"100,001-200,000",1,Sometimes,more than 60%,"Yes, both quantity and quality",56299,"15001-30,000",Rice,"Above 30,000",5,Private car/bike/bicycle,13,Less than 10%,More than twice,Never,36-50%,48623,24289,No,"Yes, once",3,No,5731,0,Utilities,Definitely yes,Borrowed money; Started a small business,Currency depreciation,Before 2018
RESP_0003,Unemployment,Other,46-55,Garoua,"Above 500,000",6,Never,20-40%,"Yes, only quality",336701,"5,000-15,000",Onions & Tomatoes,"20,001-30,000",5,Private car/bike/bicycle,13,More than 50%,More than twice,"Yes, occasionally",36-50%,189704,21843,No,No,4,No,33162,150000,Healthcare,No,Reduced spending,Government policies,2022
RESP_0004,Self-employed,Undergraduate,56 - above,Kribi,"200,001-500,000",4,Sometimes,41-60%,"Yes, only quantity",167864,"Less than 5,000",Plantains / Cassava,"20,001-30,000",3,Public bus,10,26%-50%,More than twice,"Yes, occasionally",Less than 20%,137221,16210,Yes,"Yes, once",4,No,27315,150000,Food,Definitely yes,Started a small business; Reduced spending,Inflation (rising prices),Before 2018
RESP_0005,Self-employed,Undergraduate,56 - above,Yaoundé,"50,000-100,000",1,Never,Less than 20%,"Yes, only quality",36176,"Less than 5,000",Plantains / Cassava,"10,000-20,000",3,Public bus,4,More than 50%,Never,Never,36-50%,18137,16214,Yes,"Yes, once",5,Yes,18959,75000,Utilities,Definitely yes,Taking a second job; Reduced spending,Other,2022
RESP_0006,Unemployment,Postgraduate,36-45,Buea,"Below 50,000",2,Always,Less than 20%,"Yes, both quantity and quality",12988,"Less than 5,000",Rice,"20,001-30,000",5,Bike,5,Less than 10%,More than twice,Never,20-35%,14379,23729,Yes,"Yes, once",4,Yes,20956,0,Food,Definitely yes,Taking a second job; Started a small business; Relocated to a cheaper area,Inflation (rising prices),2023
RESP_0007,Employed,Undergraduate,36-45,Buea,"200,001-500,000",5,Never,20-40%,"Yes, only quantity",190366,"Less than 5,000",Fish / Meat,"20,001-30,000",5,Private car/bike/bicycle,3,10-25%,Once,"Yes, occasionally",More than 50%,95523,10027,No,"Yes, more than once",3,Yes,23395,150000,Food,Probably no,Reduced spending,Government policies,2023
RESP_0008,Unemployment,Postgraduate,46-55,Garoua,"100,001-200,000",8,Always,Less than 20%,"Yes, only quantity",70318,"15001-30,000",Fish / Meat,"10,000-20,000",3,Private car/bike/bicycle,14,10-25%,More than twice,"Yes, frequently",Less than 20%,44686,24301,No,No,4,No,32880,0,Education,Uncertain,Reduced spending; Borrowed money,Fuel prices,2023
RESP_0009,Employed,Vocational,18-25,Garoua,"50,000-100,000",7,Rarely,41-60%,"Yes, both quantity and quality",33225,"Less than 5,000",Plantains / Cassava,"10,000-20,000",4,Private car/bike/bicycle,10,26%-50%,More than twice,Never,20-35%,16126,8949,No,"Yes, once",3,Yes,13026,300000,Transportation,Probably yes,Relocated to a cheaper area,Government policies,2026
RESP_0010,Student,Other,36-45,Garoua,"100,001-200,000",1,Always,20-40%,"Yes, only quantity",52185,"More than 30,000",Cooking oil,"Above 30,000",5,Bike,0,10-25%,Twice,"Yes, occasionally",More than 50%,48965,23148,Yes,"Yes, once",3,No,6993,0,Rent,Uncertain,Taking a second job; Relocated to a cheaper area; Borrowed money,Inflation (rising prices),2024
