Timestamp,Q1_Employment_Status,Q2_Highest_Education,Q3_Age_Group,Q4_City_Residence,Q5_Monthly_Household_Income_XAF,Q6_Household_Size_Supported,Q7_Bulk_Food_Frequency,Q8_Percentage_Income_To_Food,Q9_Reduced_Food_Quality_Quantity,Q10_Monthly_Food_Spend_XAF_Numeric,Q11_Estimated_5Yr_Food_Bill_Increase,Q12_Most_Dramatic_Increased_Food_Item,Q13_Monthly_Transport_Spend,Q14_Fuel_Prices_Impact_Scale_1_5,Q15_Primary_Transportation_Mode,Q16_Paid_Transport_Trips_Per_Week,Q17_Estimated_5Yr_Transport_Fare_Increase_Percent,Q18_Times_Moved_Due_To_Rent,Q19_Power_Cuts_Extra_Spend,Q20_Percentage_Income_To_Rent,Q21_Monthly_Rent_XAF_Numeric,Q22_Monthly_Utilities_Combined_XAF_Numeric,Q23_Rent_Increased_Last_2_Years,Q24_Skipped_Medical_Treatment_Cost,Q25_Schooling_Cost_Increased_Scale_1_5,Q26_Has_Health_Insurance,Q27_Average_Monthly_Healthcare_Spend_XAF_Numeric,Q28_School_Fees_Per_Child_XAF_Numeric,Q29_Highest_Burden_Expenditure_Category,Q30_Expect_Cost_Of_Living_Increase_5Yrs,Q31_Taken_Measures_To_Cope,Q32_Primary_Contributor_To_Cost_Of_Living,Q33_Year_Noticeable_Impact
2026/05/26 08:05:02 AM,Self-employed,Undergraduate,26-35,Yaounde,"200,001-500,000",1,Rarely,20-40%,"Yes, both quantity and quality",141805,"15001-30,000",Plantains / Cassava,"10,000-20,000",5,Walking,3,More than 50%,Once,Rarely,Less than 20%,122500,19669,Yes,"Yes, more than once",4,Yes,19501,35000,Healthcare,Definitely no,Taking a second job,Currency depreciation,2025
2026/05/26 08:11:59 AM,Student,Other,18-25,Douala,"100,001-200,000",3,Rarely,41-60%,"Yes, only quality",76791,"5,000-15,000",Fish / Meat,"Above 30,000",5,Public bus,8,26%-50%,Once,Rarely,More than 50%,39372,16205,Yes,"Yes, once",3,No,16801,75000,Food,Definitely no,Taking a second job; Reduced spending,Other,2018
2026/05/26 08:17:02 AM,Self-employed,Vocational,18-25,Buea,"Below 50,000",5,Never,41-60%,No,16591,"Less than 5,000",Rice,"Below 10,000",4,Walking,4,More than 50%,Never,Never,20-35%,8314,13003,I own my home,"Yes, once",5,Yes,17370,0,Healthcare,Definitely no,Borrowed money; Started a small business; Reduced spending,Currency depreciation,2018
2026/05/26 08:30:11 AM,Student,Postgraduate,18-25,Maroua,"50,000-100,000",8,Rarely,41-60%,"Yes, only quality",32507,"5,000-15,000",Cooking oil,"Above 30,000",5,Public bus,3,Less than 10%,Once,"Yes, frequently",More than 50%,20335,4906,I own my home,"Yes, once",5,No,21714,35000,Education,Probably yes,Borrowed money; Taking a second job; Relocated to a cheaper area,Currency depreciation,Before 2018
2026/05/26 08:37:26 AM,Student,Postgraduate,46-55,Yaounde,"200,001-500,000",4,Always,41-60%,No,155019,"Less than 5,000",Onions & Tomatoes,"20,001-30,000",3,Walking,5,10-25%,Never,"Yes, occasionally",More than 50%,0,3017,Yes,"Yes, once",3,Yes,34674,35000,Food,Definitely yes,Taking a second job; Relocated to a cheaper area,Fuel prices,2026
2026/05/26 08:38:45 AM,Unemployed,Vocational,26-35,Garoua,"100,001-200,000",5,Never,more than 60%,"Yes, both quantity and quality",68333,"15001-30,000",Cooking oil,"Below 10,000",5,Bike,3,More than 50%,Once,"Yes, frequently",36-50%,46812,14521,No,"Yes, more than once",3,No,2783,75000,Rent,Definitely no,Relocated to a cheaper area,Inflation (rising prices),2025
2026/05/26 08:51:15 AM,Employed,Undergraduate,56 - above,Kribi,"100,001-200,000",4,Sometimes,more than 60%,No,73924,"5,000-15,000",Rice,"10,000-20,000",4,Public bus,1,Less than 10%,More than twice,Never,More than 50%,0,5928,No,"Yes, more than once",3,No,10425,300000,Food,Uncertain,Borrowed money,Currency depreciation,2026
2026/05/26 09:05:38 AM,Unemployed,Other,56 - above,Garoua,"Below 50,000",1,Never,20-40%,"Yes, only quantity",17788,"5,000-15,000",Bread,"Above 30,000",4,Private car/bike/bicycle,2,26%-50%,Once,Never,20-35%,0,20839,I own my home,"Yes, once",3,No,5281,75000,Transportation,Probably yes,Borrowed money; Reduced spending,Currency depreciation,2019
2026/05/26 09:14:38 AM,Unemployed,Undergraduate,36-45,Bafoussam,"Below 50,000",4,Rarely,more than 60%,"Yes, both quantity and quality",13011,"5,000-15,000",Onions & Tomatoes,"10,000-20,000",4,Public bus,3,10-25%,Once,"Yes, occasionally",More than 50%,12337,7189,No,No,5,Yes,5859,150000,Rent,Definitely yes,Relocated to a cheaper area,Inflation (rising prices),2026
2026/05/26 09:20:43 AM,Self-employed,Undergraduate,56 - above,Yaounde,"200,001-500,000",5,Sometimes,Less than 20%,"Yes, both quantity and quality",129905,"Less than 5,000",Plantains / Cassava,"Above 30,000",5,Bike,2,26%-50%,Once,"Yes, frequently",Less than 20%,127953,21291,No,"Yes, more than once",5,Yes,17776,35000,Education,Probably yes,Taking a second job; Relocated to a cheaper area,Currency depreciation,2022
2026/05/26 09:25:05 AM,Self-employed,Vocational,56 - above,Bamenda,"200,001-500,000",3,Never,more than 60%,"Yes, both quantity and quality",163094,"More than 30,000",Plantains / Cassava,"10,000-20,000",3,Public bus,12,26%-50%,Once,"Yes, occasionally",Less than 20%,130236,10051,Yes,"Yes, once",4,No,18142,0,Transportation,Probably yes,Taking a second job; Borrowed money,Inflation (rising prices),2023
2026/05/26 09:38:33 AM,Self-employed,Undergraduate,18-25,Yaounde,"50,000-100,000",4,Sometimes,41-60%,"Yes, only quantity",29721,"5,000-15,000",Plantains / Cassava,"Above 30,000",5,Private car/bike/bicycle,12,Less than 10%,Never,Never,36-50%,19199,12976,Yes,No,5,Yes,11860,150000,Utilities,Probably yes,Borrowed money; Started a small business,Other,2024
2026/05/26 09:47:58 AM,Self-employed,Undergraduate,26-35,Yaounde,"100,001-200,000",8,Always,Less than 20%,"Yes, only quantity",81637,"15001-30,000",Cooking oil,"Below 10,000",3,Private car/bike/bicycle,2,10-25%,Never,"Yes, frequently",36-50%,35291,5474,Yes,No,3,Yes,28589,300000,Education,Probably no,Taking a second job; Borrowed money; Reduced spending,Government policies,2021
2026/05/26 09:57:42 AM,Student,Other,46-55,Maroua,"Below 50,000",1,Sometimes,Less than 20%,"Yes, both quantity and quality",17108,"More than 30,000",Bread,"Below 10,000",4,Public bus,3,More than 50%,Once,Never,20-35%,12751,22812,No,"Yes, once",4,Yes,33087,0,Rent,Probably no,Started a small business; Taking a second job,Currency depreciation,2021
2026/05/26 10:10:59 AM,Employed,Other,18-25,Maroua,"200,001-500,000",3,Never,Less than 20%,"Yes, only quantity",155313,"15001-30,000",Fish / Meat,"10,000-20,000",5,Private car/bike/bicycle,0,More than 50%,Twice,"Yes, frequently",20-35%,132209,11592,Yes,"Yes, more than once",4,Yes,24626,150000,Transportation,Definitely no,Relocated to a cheaper area,Other,2022
2026/05/26 10:17:35 AM,Unemployed,Other,46-55,Bamenda,"Below 50,000",6,Always,20-40%,"Yes, only quantity",18983,"5,000-15,000",Bread,"20,001-30,000",4,Walking,8,26%-50%,Once,Rarely,20-35%,12065,21326,No,No,3,Yes,30918,0,Utilities,Probably yes,Taking a second job,Currency depreciation,2024
2026/05/26 10:23:13 AM,Employed,Other,46-55,Buea,"Below 50,000",4,Sometimes,41-60%,"Yes, only quality",15713,"Less than 5,000",Fish / Meat,"10,000-20,000",5,Walking,8,26%-50%,More than twice,"Yes, frequently",More than 50%,8616,18469,No,"Yes, more than once",3,Yes,19604,150000,Healthcare,Uncertain,Started a small business,Inflation (rising prices),2026
2026/05/26 10:36:53 AM,Student,Undergraduate,56 - above,Douala,"200,001-500,000",8,Always,more than 60%,"Yes, only quality",165801,"Less than 5,000",Rice,"Above 30,000",3,Public bus,7,10-25%,Never,Rarely,36-50%,127310,20496,No,"Yes, more than once",4,Yes,28283,75000,Healthcare,Probably no,Taking a second job,Fuel prices,2024
2026/05/26 10:38:51 AM,Student,Postgraduate,18-25,Yaounde,"Above 500,000",2,Always,more than 60%,"Yes, only quality",308844,"15001-30,000",Rice,"Above 30,000",4,Private car/bike/bicycle,4,26%-50%,Twice,"Yes, frequently",20-35%,222268,22241,I own my home,No,3,Yes,28532,0,Utilities,Uncertain,Started a small business; Relocated to a cheaper area,Inflation (rising prices),2019
2026/05/26 10:51:47 AM,Unemployed,Vocational,46-55,Garoua,"Below 50,000",7,Always,more than 60%,"Yes, only quality",17307,"5,000-15,000",Cooking oil,"20,001-30,000",3,Public bus,9,26%-50%,Never,"Yes, frequently",More than 50%,14690,17884,Yes,No,3,Yes,24071,300000,Education,Probably yes,Relocated to a cheaper area,Other,2024
2026/05/26 10:58:45 AM,Employed,Vocational,26-35,Bamenda,"100,001-200,000",5,Sometimes,20-40%,"Yes, only quality",74741,"Less than 5,000",Cooking oil,"10,000-20,000",4,Public bus,9,26%-50%,Never,Never,36-50%,47885,11787,No,"Yes, once",3,Yes,34580,75000,Healthcare,Definitely no,Reduced spending,Currency depreciation,2021
2026/05/26 11:08:53 AM,Self-employed,Postgraduate,46-55,Bamenda,"100,001-200,000",4,Rarely,20-40%,"Yes, both quantity and quality",61190,"Less than 5,000",Plantains / Cassava,"Above 30,000",4,Bike,10,10-25%,Never,Never,Less than 20%,33447,3969,No,"Yes, more than once",4,Yes,11057,75000,Transportation,Probably no,Taking a second job,Government policies,2023
2026/05/26 11:16:19 AM,Unemployed,Vocational,26-35,Maroua,"Below 50,000",8,Sometimes,more than 60%,"Yes, only quantity",13845,"More than 30,000",Bread,"Below 10,000",3,Walking,11,26%-50%,Never,"Yes, frequently",36-50%,13881,10885,Yes,"Yes, once",3,Yes,31629,35000,Education,Definitely yes,Started a small business; Borrowed money; Relocated to a cheaper area,Other,2023
2026/05/26 11:31:21 AM,Employed,Other,26-35,Maroua,"Below 50,000",8,Never,20-40%,"Yes, only quantity",15567,"15001-30,000",Plantains / Cassava,"20,001-30,000",4,Private car/bike/bicycle,13,10-25%,More than twice,Rarely,More than 50%,0,23526,Yes,No,3,Yes,12039,35000,Food,No,Borrowed money,Other,2020
2026/05/26 11:42:57 AM,Student,Other,46-55,Kribi,"Below 50,000",1,Always,41-60%,"Yes, only quality",20379,"5,000-15,000",Cooking oil,"10,000-20,000",4,Walking,12,10-25%,Never,Rarely,Less than 20%,8903,8095,Yes,No,5,Yes,31229,0,Rent,Definitely yes,Relocated to a cheaper area,Fuel prices,2025
2026/05/26 11:56:02 AM,Self-employed,Vocational,36-45,Douala,"100,001-200,000",2,Always,more than 60%,"Yes, only quantity",58902,"Less than 5,000",Rice,"Below 10,000",5,Public bus,8,More than 50%,Once,"Yes, frequently",20-35%,48369,17613,Yes,"Yes, once",4,No,26724,35000,Rent,No,Relocated to a cheaper area; Started a small business,Fuel prices,2022
2026/05/26 11:57:24 AM,Unemployed,Undergraduate,36-45,Bafoussam,"100,001-200,000",7,Sometimes,more than 60%,"Yes, only quantity",82321,"15001-30,000",Onions & Tomatoes,"Above 30,000",5,Public bus,1,Less than 10%,More than twice,Rarely,20-35%,42883,18729,I own my home,"Yes, once",3,Yes,3464,0,Utilities,No,Relocated to a cheaper area,Currency depreciation,2021
2026/05/26 12:05:26 PM,Student,Vocational,36-45,Buea,"50,000-100,000",1,Never,Less than 20%,No,33735,"15001-30,000",Onions & Tomatoes,"20,001-30,000",4,Bike,13,Less than 10%,More than twice,"Yes, frequently",More than 50%,18094,4834,No,"Yes, more than once",3,Yes,29103,150000,Healthcare,No,Started a small business,Inflation (rising prices),2022
2026/05/26 12:19:13 PM,Unemployed,Vocational,56 - above,Yaounde,"Above 500,000",6,Rarely,20-40%,"Yes, only quality",325949,"5,000-15,000",Onions & Tomatoes,"20,001-30,000",4,Walking,11,10-25%,Once,Never,More than 50%,189420,10699,Yes,"Yes, once",4,No,18367,75000,Rent,Definitely no,Relocated to a cheaper area,Inflation (rising prices),2025
2026/05/26 12:34:09 PM,Unemployed,Postgraduate,18-25,Bamenda,"200,001-500,000",6,Never,more than 60%,"Yes, only quantity",146418,"More than 30,000",Plantains / Cassava,"Above 30,000",3,Private car/bike/bicycle,0,26%-50%,Once,"Yes, frequently",Less than 20%,121624,13255,Yes,"Yes, once",3,No,11753,0,Transportation,Definitely yes,Reduced spending,Inflation (rising prices),2018
2026/05/26 12:39:09 PM,Student,Other,26-35,Buea,"100,001-200,000",4,Rarely,20-40%,"Yes, only quality",51721,"More than 30,000",Plantains / Cassava,"Below 10,000",5,Private car/bike/bicycle,9,More than 50%,Never,Rarely,20-35%,56346,23446,No,"Yes, more than once",5,No,7263,300000,Healthcare,Definitely no,Borrowed money; Started a small business; Relocated to a cheaper area,Inflation (rising prices),2021
2026/05/26 12:42:46 PM,Student,Undergraduate,26-35,Douala,"200,001-500,000",7,Always,41-60%,"Yes, both quantity and quality",130890,"5,000-15,000",Rice,"Above 30,000",4,Public bus,5,10-25%,Twice,"Yes, occasionally",20-35%,73982,8527,Yes,"Yes, more than once",4,Yes,24034,75000,Food,Definitely no,Relocated to a cheaper area,Government policies,2021
2026/05/26 12:57:34 PM,Self-employed,Vocational,46-55,Bamenda,"50,000-100,000",3,Never,Less than 20%,"Yes, both quantity and quality",27869,"15001-30,000",Onions & Tomatoes,"20,001-30,000",4,Bike,14,10-25%,Twice,Rarely,36-50%,19509,24264,I own my home,"Yes, once",3,No,13587,300000,Transportation,No,Borrowed money,Inflation (rising prices),2019
2026/05/26 01:09:15 PM,Student,Postgraduate,18-25,Douala,"Above 500,000",3,Always,more than 60%,"Yes, both quantity and quality",281034,"Less than 5,000",Rice,"Above 30,000",4,Private car/bike/bicycle,0,10-25%,Twice,"Yes, frequently",More than 50%,225992,23437,I own my home,"Yes, more than once",5,Yes,3196,0,Utilities,Definitely no,Started a small business; Relocated to a cheaper area; Reduced spending,Other,2021
2026/05/26 01:16:54 PM,Unemployed,Other,26-35,Kribi,"50,000-100,000",4,Sometimes,Less than 20%,"Yes, both quantity and quality",37787,"15001-30,000",Fish / Meat,"20,001-30,000",3,Private car/bike/bicycle,10,Less than 10%,Twice,"Yes, frequently",36-50%,15508,13755,No,"Yes, more than once",5,Yes,24744,150000,Rent,Definitely no,Relocated to a cheaper area; Started a small business,Fuel prices,2026
2026/05/26 01:22:26 PM,Self-employed,Postgraduate,18-25,Maroua,"100,001-200,000",1,Always,41-60%,"Yes, only quantity",67587,"5,000-15,000",Onions & Tomatoes,"Above 30,000",3,Private car/bike/bicycle,0,More than 50%,Never,Rarely,Less than 20%,31228,17364,I own my home,No,3,Yes,33682,75000,Healthcare,Probably no,Reduced spending; Taking a second job,Inflation (rising prices),Before 2018
2026/05/26 01:32:16 PM,Self-employed,Undergraduate,56 - above,Kribi,"200,001-500,000",6,Sometimes,Less than 20%,"Yes, only quantity",157231,"Less than 5,000",Fish / Meat,"20,001-30,000",4,Public bus,2,More than 50%,Twice,Never,Less than 20%,131393,16897,Yes,"Yes, more than once",3,No,12380,35000,Food,Definitely yes,Started a small business; Reduced spending; Relocated to a cheaper area,Currency depreciation,2018
2026/05/26 01:41:15 PM,Student,Other,46-55,Bafoussam,"50,000-100,000",3,Always,more than 60%,No,24413,"15001-30,000",Cooking oil,"Below 10,000",5,Public bus,14,26%-50%,More than twice,"Yes, occasionally",20-35%,29815,12980,Yes,"Yes, once",4,Yes,28855,0,Education,Uncertain,Borrowed money; Relocated to a cheaper area; Reduced spending,Other,2024
2026/05/26 01:50:24 PM,Employed,Other,46-55,Yaounde,"50,000-100,000",4,Never,41-60%,"Yes, only quality",40307,"Less than 5,000",Plantains / Cassava,"Below 10,000",3,Bike,8,26%-50%,Twice,"Yes, occasionally",More than 50%,25398,16023,I own my home,"Yes, more than once",5,No,30665,300000,Rent,No,Started a small business; Borrowed money; Taking a second job,Government policies,2021
2026/05/26 02:01:23 PM,Student,Vocational,46-55,Buea,"Below 50,000",5,Never,more than 60%,"Yes, both quantity and quality",21353,"15001-30,000",Plantains / Cassava,"Below 10,000",3,Bike,7,26%-50%,Twice,"Yes, occasionally",36-50%,11790,8656,No,"Yes, more than once",3,Yes,17245,35000,Education,No,Borrowed money; Started a small business,Other,2026
2026/05/26 02:04:34 PM,Employed,Undergraduate,56 - above,Kribi,"Below 50,000",1,Never,more than 60%,No,13051,"Less than 5,000",Fish / Meat,"10,000-20,000",5,Bike,5,10-25%,Once,"Yes, occasionally",Less than 20%,10723,4919,I own my home,"Yes, once",4,Yes,17746,150000,Transportation,Probably no,Relocated to a cheaper area; Reduced spending; Started a small business,Inflation (rising prices),2019
2026/05/26 02:11:16 PM,Student,Other,46-55,Maroua,"200,001-500,000",1,Always,Less than 20%,"Yes, only quantity",138382,"Less than 5,000",Cooking oil,"20,001-30,000",4,Public bus,12,Less than 10%,Never,Never,20-35%,79315,12999,No,"Yes, more than once",3,No,7267,0,Utilities,Probably yes,Started a small business,Government policies,2019
2026/05/26 02:16:00 PM,Unemployed,Undergraduate,18-25,Garoua,"50,000-100,000",4,Always,20-40%,"Yes, only quantity",40609,"5,000-15,000",Cooking oil,"Below 10,000",5,Bike,4,10-25%,More than twice,Rarely,36-50%,0,11828,Yes,No,5,No,26789,75000,Rent,Definitely yes,Borrowed money; Relocated to a cheaper area,Government policies,2020
